Color Name,Red,Green,Blue
Matt Black,0x00,0x00,0x00
Deep Grey,0x4e,0x53,0x65
Uniform Grey,0x6a,0x70,0x7c
Ash Grey,0x85,0x89,0x8f
Company Grey,0xbc,0xbe,0xc3
Brigade Grey,0x92,0x91,0x88
Grey Castle,0xa9,0xa3,0x95
Gargoyle Grey,0x85,0x89,0x8f
Great Hall Grey,0xbc,0xbe,0xc3
Worn Stone,0xd1,0xd2,0xd4
Brainmatter Beige,0x92,0x91,0x88
Matt White,0xff,0xff,0xff
Night Sky,0x31,0x44,0x5b
Thunderous Blue,0x37,0x57,0x7a
Stratos Blue,0x33,0x65,0x8f
Wolf Grey,0x51,0x7a,0xa4
Runic Cobalt,0x76,0x97,0xb4
Frost Blue,0x9a,0xbf,0xde
Truimphant Navy,0x1a,0x2c,0x55
Gothic Blue,0x2e,0x3f,0x77
Ultramarine Blue,0x27,0x4e,0x8f
Alpha Blue,0x66,0x7f,0xbf
Baron Blue,0x7c,0x97,0xce
Augur Blue,0xac,0xbf,0xe3
Imperial Navy,0x07,0x36,0x63
Regal Blue,0x00,0x50,0x89
Royal Blue,0x00,0x62,0xb0
Crystal Blue,0x00,0x74,0xbc
Arctic Gem,0x15,0x96,0xd4
Bright Sapphire,0x86,0xce,0xf2
Deep Ocean Blue,0x1c,0x32,0x45
Abyssal Blue,0x00,0x4f,0x6b
Tidal Blue,0x01,0x6c,0x95
Phalanx Blue,0x04,0x8a,0xaf
Shieldwall Blue,0x04,0xa3,0xcb
Aegis Aqua,0x30,0xb4,0xd5
Deep Azure,0x00,0x6c,0x7a
Hydra Turquoise,0x16,0x94,0x98
Turquoise Siren,0x2a,0xb5,0xbb
Aquamarine,0x55,0xc5,0xcc
Neptune Glow,0x77,0xcd,0xd4
Marine Mist,0x95,0xd5,0xd5
Scarab Green,0x1b,0x3b,0x44
Temple Gate Teal,0x03,0x60,0x54
Pharaoh Guard,0x0c,0x7b,0x63
Talisman Teal,0x10,0xaf,0x91
Aqua Alchemy,0x29,0xbc,0xa4
Amulet Aqua,0x67,0xc6,0xb4
Angel Green,0x1b,0x3f,0x31
Guardian Green,0x24,0x62,0x49
Greenskin,0x1b,0x71,0x39
Eternal Hunt,0x2a,0x9a,0x4c
Wild Green,0x45,0xb8,0x58
Ferocious Green,0x75,0xc3,0x78
Emerald Forest,0x5c,0xbb,0x4d
Leafy Green,0x76,0xc0,0x43
Rainforest,0x8c,0xc6,0x3f
Electric Lime,0xbc,0xd6,0x30
Vivid Volt,0xd0,0xdf,0x52
Afterglow,0xe4,0xea,0x8e
Evergreen Fog,0x3b,0x64,0x5f
Medieval Forest,0x44,0x7c,0x6e
Patagon Pine,0x62,0x93,0x81
Autumn Sage,0x75,0xad,0x99
Forest Faun,0xa1,0xc9,0xae
Mossy Green,0xb1,0xdc,0xc0
Woodland Camo,0x3b,0x4a,0x39
Army Green,0x49,0x5d,0x3d
Camouflage Green,0x5d,0x6f,0x4d
Olive Drab,0x6e,0x83,0x59
Necrotic Flesh,0x9c,0xa9,0x85
Grotesque Green,0xb1,0xc3,0x9d
Brigandine Brown,0x2a,0x20,0x24
Bootstrap Brown,0x48,0x2f,0x31
Leather Brown,0x64,0x41,0x37
Paratrooper Tan,0x99,0x78,0x6d
Commander Khaki,0xb5,0x94,0x89
Urban Buff,0xdc,0xb9,0xaa
Tundra Taupe,0x4c,0x4f,0x3f
Prairie Ochre,0x68,0x63,0x43
Desert Yellow,0x82,0x6f,0x46
Wasteland Clay,0xa4,0x88,0x55
Burnt Turf,0xbe,0x99,0x59
Barren Dune,0xdb,0xba,0x73
Dusty Skull,0x8b,0x7d,0x69
Tomb King Tan,0xa4,0x92,0x78
Skeleton Bone,0xc0,0xb3,0x93
Ancient Stone,0xcf,0xc4,0xa3
Bony Spikes,0xe7,0xd5,0xbf
Pale Sand,0xef,0xe9,0xd4
Demigod Flames,0xb9,0x70,0x41
Fiendish Yellow,0xc7,0x8d,0x32
Daemonic Yellow,0xe0,0xb6,0x2e
Warped Yellow,0xdf,0xbc,0x49
Space Dust,0xe8,0xd0,0x7e
Ice Yellow,0xeb,0xdc,0xa3
Molten Lava,0xd9,0x50,0x39
Burning Ore,0xda,0x60,0x30
Lava Orange,0xde,0x77,0x25
Flickering Flame,0xd9,0x80,0x3e
Glowing Inferno,0xd9,0x8c,0x3f
Inner Light,0xe6,0xba,0x5c
Resplendent Red,0xa4,0x44,0x47
Angelic Red,0xd9,0x46,0x4f
Legendary Red,0xf1,0x62,0x57
Sacred Scarlet,0xd8,0x5f,0x4b
Violent Vermillion,0xd5,0x70,0x5d
Raging Rouge,0xd8,0x83,0x78
Oak Brown,0x4d,0x3d,0x40
Tree Ancient,0x62,0x4a,0x47
Dryad Brown,0x73,0x4f,0x49
Fur Brown,0x85,0x56,0x56
Ruddy Umber,0x88,0x54,0x4c
Buffed Hide,0xa1,0x6d,0x62
Basilisk Red,0x7e,0x3f,0x50
Wyvern Fury,0xa5,0x4a,0x58
Dragon Red,0xc7,0x42,0x50
Pure Red,0xbf,0x1a,0x20
Blood Chalice,0xc3,0x49,0x4b
Raging Rose,0xd1,0x60,0x5d
Wicked Pink,0xb9,0x11,0x7b
Impish Rouge,0xc2,0x53,0x91
Pixie Pink,0xc7,0x6a,0x9f
Wierd Elixir,0xcb,0x87,0xad
Pink Potion,0xe0,0xa9,0xc1
Doomfire Drab,0xdf,0xc2,0xce
Terrestrial Titan,0x49,0x48,0x5e
Alien Purple,0x72,0x67,0xae
Cultist Purple,0x7e,0x76,0xb6
Hexed Violet,0x82,0x78,0xab
Violet Coven,0x9d,0x8e,0xb9
Kraken Lavender,0xbd,0xb4,0xc9
Diabolic Plum,0x6c,0x49,0x84
Magecast Magenta,0x87,0x5f,0xa9
Warlock Magenta,0x97,0x67,0xad
Spellbound Fuchsia,0xb9,0x6a,0xac
Enchanted Pink,0xa3,0x65,0x9c
Diviner Light,0xbe,0x8f,0xb4
Mulled Berry,0x75,0x4e,0x5f
Moldy Wine,0x8c,0x4d,0x65
Elder Flower,0xb2,0x6c,0x8b
Forbidden Fruit,0xb8,0x7e,0x97
Figgy Pink,0xd0,0xa1,0xb6
Wilted Rose,0xd5,0xb3,0xc4
Moonstone Skin,0xb1,0x71,0x6c
Agate Skin,0xc6,0x7e,0x74
Barbarian Flesh,0xda,0x8b,0x76
Ruby Skin,0xe4,0xa9,0x93
Opal Skin,0xe6,0xc2,0xb5
Pearl Skin,0xe8,0xd1,0xc7
Carnelean Skin,0x72,0x55,0x5b
Tiger's Eye Skin,0x9d,0x62,0x66
Topaz Skin,0xba,0x6b,0x65
Jasper Skin,0xab,0x6e,0x6d
Tourmaline Skin,0xcb,0x8e,0x81
Leopard Stone Skin,0xc7,0x9e,0x9b
Obsidian Skin,0x60,0x58,0x5d
Onyx Skin,0x7a,0x60,0x59
Mocca Skin,0x90,0x76,0x6c
Amber Skin,0xb2,0x93,0x7b
Dorado Skin,0xda,0xbe,0xa5
Quartz Skin,0xda,0xbe,0xa5